Name,X062918.Healthy.ppLN.cDC1,X062918.PanIN.ppLN.cDC1,X062918.Tumor.ppLN.cDC1,X070618.Tumor.ppLN.cDC1,X071618.Tumor.ppLN.cDC1,X071718.PanIN.ppLN.cDC1,X072618.PanIN.ppLN.cDC1,X073018.Healthy.ppLN.cDC1,X080618.Healthy.ppLN.cDC1
ENSMUST00000091579,1.285433,3.328516,0.956545,1.108409,1.764755,3.215525,3.336448,2.389152,2.295575
ENSMUST00000225098,5.465847,4.724103,2.115343,3.171584,5.72901,3.497357,4.862775,2.172177,0
ENSMUST00000224273,1.666822,1.449155,2.25709,1.335761,3.904647,0,0.972783,1.393771,0.387595
ENSMUST00000224114,0.177331,0.042523,0.037251,0.085788,0.084758,0.095892,0.077738,0,0.041811
ENSMUST00000224505,0.551042,0,0,0,0.882323,0,0.523374,0.060501,0
ENSMUST00000225034,0,0,0,0,0,0.666129,0,0,0
ENSMUST00000223811,0,0,0,0,0,0,0,0,0
ENSMUST00000180452,0,0,0,0,0,0,0,0,0
ENSMUST00000180882,0.15876,0.098375,0.063165,0.04331,0.163984,0.061363,0.098886,0,0.102817
ENSMUST00000190479,0,0,0,0.366113,0,0.468115,0.257801,0,0
ENSMUST00000225388,0,0.046049,0,0,0.065734,0.026411,0,0,0.006186
ENSMUST00000224694,0,0,0.046201,0,0,0,0,0.061904,0
ENSMUST00000043605,0.063241,0,0,0.021836,0,0,0.065913,0.097861,0.053976
ENSMUST00000225680,0,0,0,0,0,0,0.146909,0,0.426307
ENSMUST00000183772,3.888647,0,8.930538,0,8.101482,25.294326,0,0,3.099241
ENSMUST00000104240,0,0,0,0,0,0,0,0,0
ENSMUST00000022032,5.205256,5.918144,6.616164,7.355235,7.849043,6.365994,7.081655,9.642749,4.523796
ENSMUST00000116403,3.729265,4.600644,5.679967,6.1493,6.087941,2.666831,2.845555,2.027231,1.317489
ENSMUST00000224182,5.939964,0,8.252006,0,0,6.899781,5.398874,0,0
ENSMUST00000177497,0.599329,4.963297,6.998574,5.522331,10.185385,14.075646,18.14518,0.656805,3.60627
